zip,file,title,type,file_count,fullCaseName_count
247785.zip,content/247785/00187cb4-ca22-494a-b396-9c1a475034e7,"Cases/MA District Court, Appellate Division Cases from 1990 [PCSI-247785]",states,892,30377
248673.zip,content/248673/000584af-b85e-4085-bf11-498c2c980a17,US Cases/ME Supreme Court Cases from 1820 [PCSI-248673],states,4814,250855
267065.zip,content/267065/00053b08-0b46-4dc4-a4d1-bc856a80af5c,US Cases/GU Supreme Court Cases from 1996 [PCSI-267065],states,907,6937
267370.zip,content/267370/002dbeb0-b1e9-4866-a819-b8b5b31268f6,US Cases/Massachusetts Land Court [PCSI-267370],states,3748,27874
274242.zip,content/274242/01a9cf15-c545-47a4-91d9-0dca7f85b21c,US Cases/IL Court of Claims Cases from 1889 [PCSI-274242],states,141,87739
288651.zip,content/288651/0010811d-bb1c-46c6-aafe-3d876ae65dab,US Cases/NC Business Court from 1996 Publication [PCSI-288651],states,3234,11914
291763.zip,content/291763/0020867f-fd8c-41b6-930f-a3df4f96c647,US Cases/MT State District Court [PCSI-291763],states,868,184668
291801.zip,content/291801/000e72fd-299c-4b85-a891-4ea46008aa72,US Cases/MT Supreme Court Cases from 1868 [PCSI-291801],states,7704,336452
292371.zip,content/292371/012a408c-3b4b-46a4-898c-19066b2137e0,US Cases/DC Superior Court of the District of Columbia from 2001 [PCSI-292371],states,626,3588
294185.zip,content/294185/016b37ec-41a5-449f-99af-686c66c017cf,US Cases/NJ Chancery Court Cases 1830 - 1948 [PCSI-294185],states,189,117798
294201.zip,content/294201/008011e5-e421-434b-8944-aacd6cbab972,US Cases/NJ Prerogative Court Cases 1831 - 1948 [PCSI-294201],states,55,7025
294204.zip,content/294204/06b768b3-f050-4c3c-8426-1596e0185bfd,Cases/NJ Supreme Court Cases (OLD) 1789 - 1948 [PCSI-294204],states,84,147604
298424.zip,content/298424/0009524d-f83a-42db-a85c-8525947499e0,US Cases/MT Water Court [PCSI-298424],states,365,6164
300823.zip,content/300823/0004072a-b035-4a9a-81e5-a4c0036d84cf,US Cases/PA County Decisions from 1918 [PCSI-300823],states,19290,682795
320087.zip,content/320087/0002d316-7a4b-4235-b87d-76054ac3ef21,Cases/KS Unpublished Cases from 2007 [PCSI-320087],states,6988,293750
320098.zip,content/320098/0004a580-69e3-4558-8d01-9d8d245560d9,Cases/SC Unpublished Cases from 2007 [PCSI-320098],states,6579,61474
320106.zip,content/320106/002dbfad-6fa3-406a-a451-dd3afa818444,US Cases/NM Unpublished Cases from 2007 [PCSI-320106],states,2492,36336
320107.zip,content/320107/00034092-3f6e-45c0-b0bb-d5336fccced1,US Cases/VT Unpublished Cases from 2007 [PCSI-320107],states,1679,34181
320108.zip,content/320108/0026068f-c98a-4b45-ab9f-326e3fc22850,Cases/TX Unpublished Cases from 2004 [PCSI-320108],states,7041,111591
320109.zip,content/320109/00019d0a-872d-4821-8bfc-4ee59dcbce2d,US Cases/ME Unpublished Cases from 2007 [PCSI-320109],states,1458,17526
320114.zip,content/320114/00021c5c-5f75-4cab-ba2d-624a1dbf66e9,Cases/LA Unpublished Cases from 2007 [PCSI-320114],states,6942,74716
320859.zip,content/320859/00200ecb-2eb6-488a-84f4-fb163d47601c,Cases/VI Supreme Court Cases from 2007 [PCSI-320859],states,1375,7681
323879.zip,content/323879/00049e49-b1f1-404b-9af8-4bb1d87ceb25,US Cases/VT Supreme Court Cases from 1826 [PCSI-323879],states,3116,202096
